x,y
25,1.0914
27,1.0961
28,1.0934
29,1.0908
30,1.1123
31,1.0992
33,1.0847
34,1.0738
34,1.072
34,1.0651
35,1.0444
35,1.0228
35,1.0548
35,1.0756
35,1.0683
35,1.0622
36,1.1149
36,1.1082
37,1.0581
37,1.057
37,1.1043
37,1.0912
37,1.0398
37,1.0784
37,1.0593
38,1.0359
38,1.0203
38,1.0621
38,1.053
39,1.1468
39,1.0932
39,1.0238
39,1.0721
39,1.0825
40,1.061
40,1.0357
40,1.0395
40,1.0488
40,1.0536
40,1.0779
40,1.0955
41,1.0418
41,1.0427
41,1.0476
41,1.053
41,1.0295
41,1.1327
42,1.0124
42,1.0576
42,1.1045
42,1.0439
42,1.0495
43,1.0299
43,1.0949
43,1.0587
43,1.0552
43,1.0371
43,1.0785
44,1.0326
44,1.1071
44,1.0198
44,1.0759
45,1.036
45,1.1044
45,1.0972
45,1.0303
45,1.0398
45,1.0291
45,1.0063
45,1.0474
46,1.038
46,1.033
46,1.0888
46,1.0549
46,1.0398
46,1.0253
46,1.0442
46,1.017
46,1.0129
47,1.0607
47,1.0225
47,1.0382
47,1.0408
47,1.0487
47,1.024
47,1.0579
47,1.0489
47,1.0336
47,1.0258
47,1.0654
48,1.0771
48,1.0065
48,1.0873
48,1.0407
48,1.0488
48,1.0265
48,1.1101
48,1.0301
49,1.1089
49,1.0128
49,1.0602
49,1.0214
49,1.0233
49,1.0673
49,1.0194
49,1.0224
50,1.0387
50,1.0335
50,1.021
50,1.0843
50,1.0424
50,1.0411
50,1.0412
50,1.0313
50,1.0657
50,1.1413
50,1.0404
50,1.0421
50,1.0037
50,1.0113
51,1.0533
51,1.0658
51,1.0365
51,0.9871
51,1.0677
51,1.0179
51,1.0805
51,1.0469
51,1.0461
51,1.0895
51,1.0907
51,1.1251
51,1.0238
51,1.0389
52,1.122
52,1.0188
52,1.0
52,1.0331
52,1.0849
52,1.0864
52,1.0225
52,1.0946
52,1.0983
52,1.1233
52,1.1129
52,0.9938
53,1.0336
53,1.0025
53,1.03
53,1.038
53,1.0542
53,1.118
53,1.0428
53,1.0442
53,1.0201
53,1.0502
53,1.0503
53,1.0888
53,1.0086
53,1.0194
53,1.0566
53,1.0232
53,1.0099
54,1.0255
54,1.0162
54,1.0023
54,1.0726
54,1.0123
54,1.0605
54,1.0389
54,1.0422
54,1.0654
55,1.0672
55,1.0418
55,1.0612
55,1.0714
55,1.06
55,1.0177
55,1.0036
55,1.017
55,1.0523
55,0.9977
55,1.0213
55,1.0115
55,1.0233
56,1.0138
56,0.9778
56,1.0175
56,1.0059
56,1.0161
56,1.0134
56,1.0659
56,1.0262
56,0.9937
56,1.0229
56,1.0734
56,1.0238
56,1.166
57,1.0924
57,1.3992
57,1.0424
57,1.0325
57,1.0889
57,1.0733
57,1.0115
57,1.0191
57,1.0372
57,1.0917
57,1.0624
57,1.0366
57,1.0725
57,1.1157
57,1.0078
57,1.0487
57,1.0014
57,1.0491
57,1.0041
57,1.1332
57,0.9837
57,1.007
58,0.9701
58,1.0342
58,1.0455
58,1.0648
58,0.9946
58,0.9989
58,1.0565
58,0.9416
58,1.0244
58,1.0302
58,1.0529
58,1.0334
59,1.0691
59,0.9999
59,1.0003
59,0.9813
59,0.9756
59,1.0208
59,1.0619
59,1.0557
59,1.0389
59,0.9849
59,0.9859
59,1.0398
59,0.9948
59,0.9916
59,1.0352
59,1.0731
59,1.0076
59,1.0063
59,1.0897
59,1.1257
59,1.0043
59,1.0181
59,1.0301
60,0.9781
60,1.0345
60,1.0042
60,1.1198
60,0.9947
60,0.9911
60,1.024
60,1.0054
60,1.0664
60,0.9897
60,1.0419
60,1.0206
60,1.0004
60,1.0507
60,0.9946
61,1.1106
61,1.085
61,1.0642
61,0.9977
61,1.0196
61,1.0316
61,1.0066
61,1.0258
61,1.0335
61,1.0149
61,1.0742
61,1.0995
61,1.0167
61,1.021
62,0.9953
62,0.9793
62,0.9797
62,1.0192
62,1.0093
62,1.0273
62,0.9863
62,1.1764
62,0.9883
62,1.1016
62,0.9686
62,1.1107
62,1.0338
62,1.0658
62,0.9615
62,1.0448
62,1.0879
63,1.0006
63,0.993
63,1.0382
63,1.0739
63,1.1049
63,1.0331
63,1.0256
63,1.1037
63,1.0253
63,1.055
63,1.0426
63,1.006
63,0.9971
63,1.135
63,1.0689
63,1.0083
63,1.0019
63,1.065
63,1.0112
63,1.0385
63,1.0355
63,1.0186
64,0.9385
64,1.025
64,0.9958
64,1.0165
64,0.9746
64,1.0383
64,0.9667
64,1.0724
64,1.0724
64,1.0553
64,1.0562
64,1.0232
64,0.9968
64,1.0147
64,0.9491
64,1.0367
64,1.0694
65,1.0543
65,1.0755
65,1.1201
65,1.0346
65,1.023
65,1.0336
65,1.0219
65,0.9888
65,0.9833
65,0.9962
65,1.0363
66,1.0608
66,0.993
66,0.9824
66,1.0976
66,1.0701
66,1.0052
66,0.9695
66,1.0499
66,1.0072
66,1.046
66,0.9782
66,1.0037
66,0.9623
66,1.0218
66,0.9754
66,0.964
66,0.9748
66,1.0214
66,0.99
67,1.0446
67,1.0537
67,1.0463
67,1.1281
67,0.9852
67,0.9842
67,1.043
67,1.0137
67,0.9875
67,1.125
67,1.0822
67,1.0157
67,0.9702
67,0.9844
67,1.0281
67,1.0321
67,1.042
67,1.0033
67,1.0071
67,1.0004
68,1.0448
68,1.0399
68,1.0213
68,1.0764
68,0.9955
68,1.0528
68,0.9943
68,0.9687
68,1.0449
68,1.0677
68,1.031
68,1.0449
68,0.9981
68,0.9965
68,0.9768
68,0.9976
69,1.094
69,1.0178
69,1.0852
69,1.0344
69,1.0839
69,1.0178
69,0.9604
69,0.9942
69,1.0724
69,1.0713
69,1.0339
69,1.0349
69,0.9761
69,0.9586
69,1.0105
69,1.0081
69,1.0965
69,1.0118
70,1.0116
70,0.974
70,1.0132
70,0.9952
70,1.0197
70,1.0039
70,0.9868
70,0.9926
70,0.9715
70,0.9861
70,0.9999
70,1.0447
70,1.001
70,0.967
70,1.0009
70,1.0403
70,0.9886
70,1.0116
70,1.0043
70,0.9789
70,1.0281
71,1.052
71,1.0055
71,1.0933
71,1.0166
71,0.9662
71,1.0327
71,1.1287
71,1.029
71,1.0673
